source,target,weight
Staff Data Analyst,Business Intelligence,3
Staff Data Analyst,Admin & Data Analyst,2
Staff Data Analyst,Data Engineer,3
Staff Data Analyst,Applied Data Scientist,2
Staff Data Analyst,Data Analyst,3
Staff Data Analyst,MLOps Engineer,2
Staff Data Analyst,Financial Data Analyst,2
Staff Data Analyst,Compliance Data Analyst,1
Staff Data Analyst,Cloud Database Engineer,1
Staff Data Analyst,Big Data Developer,1
Staff Data Analyst,Computer Vision Software Engineer,2
Staff Data Analyst,AI Research Engineer,2
Staff Data Analyst,Data Science Manager,2
Staff Data Analyst,Data Lead,2
Staff Data Analyst,Principal Data Scientist,2
Staff Data Analyst,Data Science Lead,1
Staff Data Analyst,Head of Machine Learning,1
Staff Data Analyst,Sales Data Analyst,1
Staff Data Analyst,Finance Data Analyst,1
Staff Data Analyst,AI Engineer,3
Staff Data Analyst,Prompt Engineer,1
Staff Data Analyst,Robotics Software Engineer,1
Staff Data Analyst,Deep Learning Engineer,2
Staff Data Analyst,BI Data Engineer,1
Staff Data Analyst,AI Research Scientist,1
Staff Data Analyst,Insight Analyst,2
Staff Data Analyst,Data Science Engineer,3
Staff Data Analyst,Decision Scientist,1
Staff Data Analyst,NLP Engineer,2
Staff Data Analyst,Data Operations Associate,2
Staff Data Analyst,Data Management Analyst,2
Staff Data Analyst,Azure Data Engineer,1
Staff Data Analyst,BI Analyst,2
Staff Data Analyst,Autonomous Vehicle Technician,1
Staff Data Analyst,Data Operations Engineer,1
Staff Data Analyst,Machine Learning Engineer,3
Staff Data Analyst,Applied Machine Learning Scientist,2
Staff Data Analyst,ML Ops Engineer,1
Staff Data Analyst,Data Analytics Manager,3
Staff Data Analyst,Applied Scientist,2
Staff Data Analyst,Principal Data Analyst,1
Staff Data Analyst,Business Data Analyst,2
Staff Data Analyst,Data Science Director,1
Staff Data Analyst,Data Scientist,3
Staff Data Analyst,Director of Data Science,2
Staff Data Analyst,Data Integration Specialist,2
Staff Data Analyst,Data Integration Engineer,2
Staff Data Analyst,Business Intelligence Data Analyst,2
Staff Data Analyst,Machine Learning Software Engineer,1
Staff Data Analyst,Data Strategist,1
Staff Data Analyst,AWS Data Architect,1
Staff Data Analyst,Machine Learning Specialist,1
Staff Data Analyst,Applied Machine Learning Engineer,2
Staff Data Analyst,AI Developer,2
Staff Data Analyst,ETL Engineer,2
Staff Data Analyst,AI Architect,2
Staff Data Analyst,Data Operations Specialist,1
Staff Data Analyst,Machine Learning Scientist,3
